id,Revenue,1,2,3,4,5,6,7,8,9
ORDX0,490,Bhuna - Chicken,Korma - Lamb,,,,,,,
ORDX1,446,Plain Rice,Bhuna - Chicken, ,Special Fried Rice,Curry,Korma - Lamb,,,
ORDX2,465,Plain Rice,Chicken Tikka Balti,,,,,,,
ORDX3,1126,Bhuna - Chicken,House white wine 75cl,Special Fried Rice,Curry,Vindaloo - Prawn,,,,
ORDX4,435,Plain Rice, ,Vindaloo - Prawn,Korma - Lamb,,,,,
ORDX5,1328,Bhuna - Chicken, ,Special Fried Rice,,,,,,
ORDX6,1225, ,Vindaloo - Prawn,Korma - Lamb,,,,,,
ORDX7,997,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,Special Fried Rice,Curry,Lamb Biryani,Korma - Lamb,,
ORDX8,638,House white wine 75cl,Vindaloo - Prawn,Korma - Lamb,,,,,,
ORDX9,823,Plain Rice, ,Lamb Biryani,,,,,,
ORDX10,972,Chicken Tikka Balti, ,House white wine 75cl,Special Fried Rice,Curry,,,,
ORDX11,1126,Bhuna - Chicken,Lamb Biryani,Vindaloo - Prawn,,,,,,
ORDX12,1353,Plain Rice,Bhuna - Chicken,Special Fried Rice,Korma - Lamb,,,,,
ORDX13,1255,Plain Rice, ,House white wine 75cl,Special Fried Rice,Curry,Vindaloo - Prawn,,,
ORDX14,860,Plain Rice,Bhuna - Chicken, ,House white wine 75cl,Vindaloo - Prawn,,,,
ORDX15,767, ,Vindaloo - Prawn,,,,,,,
ORDX16,392,Plain Rice,Chicken Tikka Balti,House white wine 75cl,Special Fried Rice,Lamb Biryani,,,,
ORDX17,892,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti, ,House white wine 75cl,Special Fried Rice,Curry,Korma - Lamb,
ORDX18,332,Bhuna - Chicken,Vindaloo - Prawn,,,,,,,
ORDX19,1228,House white wine 75cl,Korma - Lamb,,,,,,,
ORDX20,605,Plain Rice,Chicken Tikka Balti,House white wine 75cl,Curry,Lamb Biryani,Korma - Lamb,,,
ORDX21,1262,Plain Rice,Chicken Tikka Balti,House white wine 75cl,Special Fried Rice,Lamb Biryani,Korma - Lamb,,,
ORDX22,545,Plain Rice,Bhuna - Chicken, ,House white wine 75cl,Curry,,,,
ORDX23,775, ,Lamb Biryani,Vindaloo - Prawn,,,,,,
ORDX24,1367,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti, ,House white wine 75cl,Vindaloo - Prawn,,,
ORDX25,530,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti, ,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,
ORDX26,892,Bhuna - Chicken,Chicken Tikka Balti, ,House white wine 75cl,Special Fried Rice,Lamb Biryani,Korma - Lamb,,
ORDX27,503,Bhuna - Chicken,Chicken Tikka Balti,Curry,,,,,,
ORDX28,974,Bhuna - Chicken,Chicken Tikka Balti, ,,,,,,
ORDX29,1300, ,Curry,Korma - Lamb,,,,,,
ORDX30,644,Plain Rice,Bhuna - Chicken,Vindaloo - Prawn,,,,,,
ORDX31,1309,Bhuna - Chicken,Chicken Tikka Balti, ,House white wine 75cl,Lamb Biryani,Korma - Lamb,,,
ORDX32,890,Plain Rice,Bhuna - Chicken,House white wine 75cl,Korma - Lamb,,,,,
ORDX33,1163,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,House white wine 75cl,Curry,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,
ORDX34,998,Bhuna - Chicken,Special Fried Rice,,,,,,,
